iter	Accuracy	Logloss
0	0.9492537313	0.6308612264
1	0.952238806	0.5773177765
2	0.947761194	0.528252333
3	0.9492537313	0.4889370374
4	0.947761194	0.4574901248
5	0.9537313433	0.4244232738
6	0.9582089552	0.3955235183
7	0.9597014925	0.3674865474
8	0.9567164179	0.3471023241
9	0.9597014925	0.3253384185
10	0.9597014925	0.3079700761
11	0.9597014925	0.29128717
12	0.9597014925	0.2773670418
13	0.9597014925	0.2651709892
14	0.9597014925	0.253885341
15	0.9597014925	0.2442416353
16	0.9597014925	0.2347374905
17	0.9597014925	0.2274618545
18	0.9597014925	0.2188293875
19	0.9597014925	0.21031198
20	0.9597014925	0.2021414271
21	0.9597014925	0.1936054314
22	0.9597014925	0.185898378
23	0.9611940299	0.1805448314
24	0.9611940299	0.1773371496
25	0.9626865672	0.1711269288
26	0.9626865672	0.1667282678
27	0.9626865672	0.1621496244
28	0.9626865672	0.1586455775
29	0.9626865672	0.15527858
30	0.9626865672	0.152143657
31	0.9626865672	0.1489378002
32	0.9626865672	0.1466409848
33	0.9626865672	0.1439157263
34	0.9626865672	0.1413610375
35	0.9626865672	0.1383043075
36	0.9626865672	0.1351535481
37	0.9626865672	0.1332676744
38	0.9626865672	0.1315581752
39	0.9626865672	0.1291444531
40	0.9641791045	0.1274363465
41	0.9656716418	0.1258866565
42	0.9656716418	0.1245734904
43	0.9656716418	0.1225754662
44	0.9671641791	0.1210171539
45	0.9671641791	0.1195376129
46	0.9671641791	0.1174309142
47	0.9671641791	0.1159287688
48	0.9701492537	0.1147128404
49	0.971641791	0.1139425593
50	0.971641791	0.113039795
51	0.9731343284	0.112695297
52	0.9731343284	0.1119653774
53	0.9746268657	0.1114920136
54	0.9746268657	0.1103736481
55	0.9746268657	0.1100329434
56	0.9746268657	0.1095754924
57	0.9746268657	0.109305325
58	0.9746268657	0.1082021326
59	0.9731343284	0.1068074813
60	0.9731343284	0.1060088461
61	0.9731343284	0.1051085393
62	0.9731343284	0.1045274407
63	0.9731343284	0.1039550454
64	0.9746268657	0.1029031945
65	0.9746268657	0.1021106097
66	0.9746268657	0.1015374361
67	0.9746268657	0.1009726027
68	0.976119403	0.1001910848
69	0.976119403	0.0994465562
70	0.9746268657	0.09899618063
71	0.976119403	0.09854564294
72	0.976119403	0.09795392077
73	0.976119403	0.09712226955
74	0.976119403	0.09652931326
75	0.976119403	0.09589361466
76	0.976119403	0.0951314303
77	0.976119403	0.09449793342
78	0.976119403	0.09407392303
79	0.976119403	0.09339707674
80	0.976119403	0.09300696623
81	0.976119403	0.09228852066
82	0.976119403	0.09114890937
83	0.976119403	0.09051775887
84	0.976119403	0.09028743181
85	0.976119403	0.08972372699
86	0.976119403	0.08925073171
87	0.976119403	0.08872336041
88	0.976119403	0.0882841727
89	0.976119403	0.08806160462
90	0.976119403	0.08750947501
91	0.976119403	0.08723044624
92	0.976119403	0.08669987084
93	0.976119403	0.08609028876
94	0.9776119403	0.08584418543
95	0.9776119403	0.08552845793
96	0.9776119403	0.08514168817
97	0.9776119403	0.08428443252
98	0.9776119403	0.08392051615
99	0.9776119403	0.0836600365
