iter	Passed	Remaining
0	56	5621
1	58	2856
2	59	1930
3	61	1481
4	63	1203
5	64	1016
6	66	888
7	68	784
8	69	703
9	71	639
10	72	585
11	73	540
12	75	502
13	76	470
14	78	443
15	80	423
16	83	406
17	85	388
18	88	377
19	90	363
20	92	347
21	93	333
22	96	322
23	99	315
24	101	304
25	102	292
26	104	281
27	105	271
28	107	263
29	108	253
30	110	245
31	111	237
32	118	241
33	120	233
34	121	226
35	124	220
36	126	215
37	128	209
38	129	202
39	131	196
40	132	190
41	134	185
42	135	179
43	136	174
44	138	169
45	140	164
46	142	160
47	143	155
48	145	151
49	149	149
50	150	144
51	152	140
52	153	136
53	157	133
54	158	129
55	161	126
56	162	122
57	164	119
58	166	115
59	167	111
60	169	108
61	170	104
62	172	101
63	173	97
64	177	95
65	179	92
66	181	89
67	182	86
68	183	82
69	186	79
70	190	77
71	191	74
72	194	71
73	196	69
74	199	66
75	201	63
76	202	60
77	204	57
78	205	54
79	207	51
80	208	48
81	210	46
82	211	43
83	217	41
84	219	38
85	220	35
86	221	33
87	223	30
88	225	27
89	227	25
90	229	22
91	233	20
92	235	17
93	238	15
94	239	12
95	246	10
96	248	7
97	249	5
98	250	2
99	253	0
